n.name,r.status,r.score,b.type
Rishav,alcohol and friends with hot babes,0.040373363,friends
Rishav,alcohol and friends with hot babes,0.048950102,enjoy
Rishav,i want to fix a get together with my family,0.012852868,family
Rishav,this was the best date I had thankyou...,0.028193628,dating
Rishav,this was the best date I had thankyou...,0.039871812,friends
Rishav,i need rest and sleep,0.22609085,sleep
Rishav,went for dinner with my brother with a movie,0.03179728,relax
Rishav,went for dinner with my brother with a movie,0.1117263,family
Rishav,i am tired,0.08361332,sleep
Rishav,party at its best gives relaxation,0.019735543,enjoy
Rishav,party at its best gives relaxation,0.039871812,friends
Rishav,this new car interests me,0.018856607,enjoy
Rishav,this new car interests me,0.032325614,shopping
Rishav,want to buy new clothes,0.021545978,enjoy
Rishav,want to buy new clothes,0.43243647,shopping
Rishav,want to gift my date,0.038067594,dating
Rishav,"i am fine, just wanted to see a movie",0.008984165,family
Rishav,"i am fine, just wanted to see a movie",0.01796833,relax
Rishav,i want to get high,0.016008804,family
Rishav,i want to get high,0.020011004,friends
Rishav,i want to get high,0.039619766,school
Pinkesh,"i am fine, just wanted to see a movie",0.01796833,relax
Pinkesh,"i am fine, just wanted to see a movie",0.008984165,family
Pinkesh,i just wanted to go to a decent college,0.028487867,school
Pinkesh,plan a dinner with mom,0.04777904,family
Pinkesh,i have to do shopping with mom,0.033832356,shopping
Pinkesh,i have to do shopping with mom,0.022554904,family
Pinkesh,fuck the world.. I want to smoke,0.018952552,friends
Pinkesh,fuck the world.. I want to smoke,0.013266787,enjoy
Pinkesh,I miss my friends so much,0.020348478,friends
Pinkesh,just suggest me a movie which I can watch with my family,0.0260071,family
Pinkesh,just suggest me a movie which I can watch with my family,0.010609559,relax
pankulgarg,this dress is great can i get one?,0.026941648,shopping
pankulgarg,i am alcoholic and I like to drink and smoke,0.008118045,enjoy
pankulgarg,i am alcoholic and I like to drink and smoke,0.05685622,friends
pankulgarg,i am alcoholic and I like to drink,0.020348478,friends
pankulgarg,my life is about gamies and fun,0.013266787,enjoy
pankulgarg,my life is about gamies and fun,0.018952552,friends
sachin,Search for nearby colleges and schools,0.053294633,school
sachin,Teaching in schools is a good job,0.053294633,school
sachin,i want to go to school,0.018856607,enjoy
sachin,i want to go to school,0.037713215,school
Jay,i am tired,0.08361332,sleep
Jay,want to gift my date,0.038067594,dating
Jay,Search for nearby colleges and schools,0.053294633,school
Virat-Sardana,"My Thursdays no longer feel like Thursdays to me and my Wednesdays stopped being Wednesdays to me since the last November, the day when Naruto manga ended. I beg to differ that Chinese Water Torture is the world’s deadliest torture. Naruto’s unrelated fillers are more excruciating than it. Date Hayato, I swear on my craze for Naruto, if you don’t stop with this filler shit, I will find you and I will kill you. Though it’s been 4 months only but, it feels like a millennium has passed without Naruto. It’s becoming really hard to survive every day just by watching AMVs. Bring back Naruto Canon episode.",0.00026027858,enjoy
Virat-Sardana,"My Thursdays no longer feel like Thursdays to me and my Wednesdays stopped being Wednesdays to me since the last November, the day when Naruto manga ended. I beg to differ that Chinese Water Torture is the world’s deadliest torture. Naruto’s unrelated fillers are more excruciating than it. Date Hayato, I swear on my craze for Naruto, if you don’t stop with this filler shit, I will find you and I will kill you. Though it’s been 4 months only but, it feels like a millennium has passed without Naruto. It’s becoming really hard to survive every day just by watching AMVs. Bring back Naruto Canon episode.",0.00037182652,dating
Virat-Sardana,"My Thursdays no longer feel like Thursdays to me and my Wednesdays stopped being Wednesdays to me since the last November, the day when Naruto manga ended. I beg to differ that Chinese Water Torture is the world’s deadliest torture. Naruto’s unrelated fillers are more excruciating than it. Date Hayato, I swear on my craze for Naruto, if you don’t stop with this filler shit, I will find you and I will kill you. Though it’s been 4 months only but, it feels like a millennium has passed without Naruto. It’s becoming really hard to survive every day just by watching AMVs. Bring back Naruto Canon episode.",0.00052055717,sleep
Virat-Sardana,I am great at studies.. I want to be a teacher at a school or college,0.0056113866,enjoy
Virat-Sardana,I am great at studies.. I want to be a teacher at a school or college,0.13139325,school
Nitish,went for dinner with my brother with a movie,0.03179728,relax
Nitish,went for dinner with my brother with a movie,0.1117263,family
Nitish,party at its best gives relaxation,0.019735543,enjoy
Nitish,party at its best gives relaxation,0.039871812,friends
Nitish,this new car interests me,0.018856607,enjoy
Nitish,this new car interests me,0.032325614,shopping
Nitish,want to buy new clothes,0.021545978,enjoy
Nitish,want to buy new clothes,0.43243647,shopping
Nitish,"i am fine, just wanted to see a movie",0.008984165,family
Nitish,"i am fine, just wanted to see a movie",0.01796833,relax
